Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R302,1k,R_0603_1608Metric,251.500000,-212.500000,90.000000,top
R303,10k,R_0603_1608Metric,251.500000,-206.000000,270.000000,top
R401,470R,R_0603_1608Metric,281.500000,-202.500000,90.000000,top
R402,1k,R_0603_1608Metric,276.500000,-212.500000,90.000000,top
R403,10k,R_0603_1608Metric,276.500000,-206.000000,270.000000,top
R501,470R,R_0603_1608Metric,306.500000,-202.500000,90.000000,top
R502,1k,R_0603_1608Metric,301.500000,-212.500000,90.000000,top
R503,10k,R_0603_1608Metric,301.500000,-206.000000,270.000000,top
R601,470R,R_0603_1608Metric,331.500000,-202.500000,90.000000,top
R602,1k,R_0603_1608Metric,326.500000,-212.500000,90.000000,top
R603,10k,R_0603_1608Metric,326.500000,-206.000000,270.000000,top
R701,470R,R_0603_1608Metric,356.500000,-202.500000,90.000000,top
R702,1k,R_0603_1608Metric,351.500000,-212.500000,90.000000,top
R703,10k,R_0603_1608Metric,351.500000,-206.000000,270.000000,top
R801,470R,R_0603_1608Metric,391.500000,-202.500000,90.000000,top
R802,1k,R_0603_1608Metric,386.500000,-212.500000,90.000000,top
R803,10k,R_0603_1608Metric,386.500000,-206.000000,270.000000,top
R901,470R,R_0603_1608Metric,416.500000,-202.500000,90.000000,top
R902,1k,R_0603_1608Metric,411.500000,-212.500000,90.000000,top
R903,10k,R_0603_1608Metric,411.500000,-206.000000,270.000000,top
R1001,470R,R_0603_1608Metric,441.500000,-202.500000,90.000000,top
R1002,1k,R_0603_1608Metric,436.500000,-212.500000,90.000000,top
R1003,10k,R_0603_1608Metric,436.500000,-206.000000,270.000000,top
R1101,470R,R_0603_1608Metric,466.500000,-202.500000,90.000000,top
R1102,1k,R_0603_1608Metric,461.500000,-212.500000,90.000000,top
R1103,10k,R_0603_1608Metric,461.500000,-206.000000,270.000000,top
R1201,470R,R_0603_1608Metric,491.500000,-202.500000,90.000000,top
R1202,1k,R_0603_1608Metric,486.500000,-212.500000,90.000000,top
R1203,10k,R_0603_1608Metric,486.500000,-206.000000,270.000000,top
R1301,1k,R_0603_1608Metric,109.000000,-184.000000,0.000000,top
R1302,1k,R_0603_1608Metric,109.000000,-215.500000,0.000000,top
R1303,1k,R_0603_1608Metric,205.325000,-216.375000,0.000000,top
R1304,1k,R_0603_1608Metric,191.500000,-184.000000,180.000000,top
R1311,10k,R_0603_1608Metric,109.000000,-187.500000,180.000000,top
R1312,10k,R_0603_1608Metric,109.000000,-212.000000,180.000000,top
R1313,10k,R_0603_1608Metric,193.375000,-205.500000,270.000000,top
R1314,10k,R_0603_1608Metric,191.500000,-187.500000,0.000000,top
R1315,10k,R_0603_1608Metric,197.625000,-200.500000,90.000000,top
R1316,10k,R_0603_1608Metric,202.500000,-200.500000,90.000000,top
R1317,10k,R_0603_1608Metric,200.875000,-200.500000,270.000000,top
R1318,10k,R_0603_1608Metric,196.000000,-200.500000,90.000000,top
R1401,470R,R_0603_1608Metric,113.250000,-212.500000,270.000000,top
R1402,470R,R_0603_1608Metric,131.250000,-212.500000,270.000000,top
R1403,470R,R_0603_1608Metric,149.250000,-212.575000,270.000000,top
R1404,470R,R_0603_1608Metric,167.250000,-212.500000,270.000000,top
U1,74HC14,SOIC-14_3.9x8.7mm_P1.27mm,187.500000,-211.000000,0.000000,top
U3,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,379.750000,-203.750000,0.000000,top
U4,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,379.750000,-196.250000,0.000000,top
U5,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,210.750000,-212.000000,270.000000,top
U7,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,219.750000,-204.250000,0.000000,top
U10,CD4051B,SOIC-16_3.9x9.9mm_P1.27mm,210.750000,-188.000000,270.000000,top
U11,CD4051B,SOIC-16_3.9x9.9mm_P1.27mm,210.750000,-200.000000,270.000000,top
U12,MCP3201-BI/SN,SOIC-8_3.9x4.9mm_P1.27mm,190.875000,-195.625000,0.000000,top
U101,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,118.250000,-190.865000,270.000000,top
U102,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,130.950000,-190.865000,270.000000,top
U103,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,143.650000,-190.865000,270.000000,top
U104,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,156.350000,-190.865000,270.000000,top
U105,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,169.050000,-190.865000,270.000000,top
U106,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,181.750000,-190.865000,270.000000,top
U201,TLC5916IDR,SOIC-16_3.9x9.9mm_P1.27mm,237.500000,-200.500000,0.000000,top
